"","x"
"1008",189032.66845151
"1009",230151.511482308
"1010",230770.867428292
"1011",220033.831997358
"1012",198372.311776012
"1013",199638.312737524
"1014",200688.30488532
"1015",190272.182982938
"1016",205307.047042224
"1017",217886.356163694
"1018",192645.234912261
"1019",172976.853165142
"1020",210713.327610199
"1021",159002.816819453
"1022",173201.89897388
"1023",218179.866616885
"1024",232624.116312708
"1025",232109.177601607
"1026",217107.831911185
"1027",187571.306739084
"1028",216223.717684577
"1029",142105.227863499
"1030",198280.328665852
"1031",233899.123894077
"1032",174696.893159864
"1033",230228.763141115
"1034",179883.157894967
"1035",213516.650194089
"1036",204207.371529261
"1037",174965.857128902
"1038",198254.435338301
"1039",235127.733273059
"1040",218711.78151346
"1041",183760.585743261
"1042",181230.139731407
"1043",193985.071153586
"1044",195174.844192278
"1045",194970.643127699
"1046",205862.129780157
"1047",211243.790172305
"1048",223169.406680672
"1049",224920.194442987
"1050",205752.723103963
"1051",194862.566234216
"1052",174049.10571461
"1053",166893.046956129
"1054",198077.342497594
"1055",162674.691987615
"1056",188356.901341139
"1057",185488.022669177
"1058",222921.394829985
"1059",175913.840339815
"1060",190251.264023485
"1061",198789.293466651
"1062",193626.469506939
"1063",201208.189296182
"1064",216684.983189354
"1065",176323.21752213
"1066",166570.861801043
"1067",186192.486474095
"1068",203501.581544236
"1069",222020.980547974
"1070",196437.531302677
"1071",211253.29181875
"1072",172139.57266701
"1073",189708.871414454
"1074",172722.550545183
"1075",181821.11769436
"1076",194605.829683395
"1077",177286.711994157
"1078",234110.567834232
"1079",210669.462817656
"1080",218635.490240672
"1081",209027.24366017
"1082",226056.588123659
"1083",180834.371221887
"1084",187117.911899657
"1085",189176.133308166
"1086",192825.867166456
"1087",184166.736894244
"1088",163474.202994195
"1089",183779.691084824
"1090",163680.376292745
"1091",231434.973909581
"1092",183806.900637949
"1093",220380.941114063
"1094",184646.024671371
"1095",199178.553407324
"1096",178159.539953799
"1097",173495.903207196
"1098",236300.075581282
"1099",224298.014360891
"1100",184455.935155767
"1101",186435.396356544
"1102",184153.117858026
"1103",161885.41867747
"1104",205040.999946136
"1105",205452.456551766
"1106",167859.914930777
"1107",176889.259014614
"1108",164794.126636236
"1109",180098.1087491
"1110",253378.0484164
"1111",195737.674482986
"1112",187865.28083295
"1113",211609.371880459
"1114",192838.520821221
"1115",236124.339824598
"1116",189154.048105103
"1117",201492.62768936
"1118",205198.689449366
"1119",178921.553184383
"1120",175610.151904323
"1121",191447.927577304
"1122",189784.051754958
"1123",191067.917838729
"1124",183270.595828394
"1125",145417.832720334
"1126",177761.194177907
"1127",195465.659957334
"1128",178372.460515673
"1129",194639.590661855
"1130",197149.347131498
"1131",167323.175460574
"1132",168663.271381328
"1133",224131.09916668
"1134",193635.394596369
"1135",224658.762086682
"1136",194675.997439148
"1137",179647.956869154
"1138",214143.258462828
"1139",196961.669027545
"1140",181351.912398136
"1141",204003.599035502
"1142",195085.169635928
"1143",194040.168043938
"1144",190232.946356447
"1145",229714.226195843
"1146",184847.559210741
"1147",159863.106352862
"1148",177878.081535472
"1149",220613.13982679
"1150",228446.723978653
"1151",218453.156810137
"1152",183616.854669389
"1153",190641.06987026
"1154",211698.456019169
"1155",191506.419639373
"1156",170845.423377214
"1157",202776.710907312
"1158",184316.43184838
"1159",184139.3213673
"1160",202419.87688709
"1161",147493.733957358
"1162",181201.724757135
"1163",193713.41466877
"1164",196044.374775725
"1165",214312.245457758
"1166",204354.606086513
"1167",182668.616946912
"1168",219138.47995293
"1169",186663.797662353
"1170",172307.21877395
"1171",206265.000646937
"1172",214851.289654218
"1173",205617.815291181
"1174",214909.531710033
"1175",160103.860457869
"1176",170606.002890073
"1177",205364.83256974
"1178",219911.125533601
"1179",218927.615071802
"1180",164956.431771187
"1181",245107.884184399
"1182",203459.8713383
"1183",234662.080520948
"1184",167589.865379248
"1185",193292.451947201
"1186",219581.808897025
"1187",202194.075405257
"1188",192428.408533378
"1189",204159.726975016
"1190",212584.900697858
"1191",201749.598596797
"1192",176005.712519135
